timestamps,TP9,AF7,AF8,TP10,Right AUX
1530746687.122,-72.754,-19.531,119.629,-40.527,-969.238
1530746687.126,-13.672,1.465,95.703,11.719,-969.238
1530746687.130,95.703,71.289,-53.223,118.164,-969.238
1530746687.134,58.105,61.035,-55.664,84.961,-969.238
1530746687.138,-54.199,-9.766,84.473,-28.320,-969.238
1530746687.142,-37.598,-15.625,121.094,-13.672,-969.238
1530746687.146,80.566,52.246,-20.996,100.098,-969.238
1530746687.150,90.332,73.730,-85.449,104.492,-969.238
1530746687.154,-20.020,10.742,47.363,-0.488,-969.238
1530746687.157,-58.105,-27.832,140.625,-31.250,-969.238
1530746687.161,49.316,32.227,30.762,71.289,-969.238
1530746687.165,101.562,80.078,-80.566,123.047,-969.238
1530746687.169,1.953,33.691,8.301,21.973,-969.238
1530746687.173,-69.336,-20.508,131.836,-48.340,-969.727
1530746687.177,15.137,13.672,62.988,45.410,-958.984
1530746687.181,103.027,75.195,-72.266,127.930,-987.305
1530746687.185,33.691,51.758,-35.156,58.594,-862.305
1530746687.189,-68.848,-15.137,107.422,-38.574,-625.977
1530746687.193,-20.020,-2.930,101.074,11.230,-523.926
1530746687.196,85.449,61.523,-45.898,112.305,-310.059
1530746687.200,59.570,62.500,-63.477,84.473,-109.863
1530746687.204,-52.734,-3.906,75.684,-26.855,-134.277
1530746687.208,-50.293,-17.578,127.930,-25.391,-123.047
1530746687.212,66.406,46.875,-5.371,90.332,66.406
1530746687.216,85.449,71.777,-80.078,100.586,237.793
1530746687.220,-26.367,13.184,34.668,-8.789,275.879
1530746687.224,-69.824,-26.367,132.812,-47.363,184.082
1530746687.228,40.527,27.832,33.691,56.152,272.461
1530746687.232,105.957,74.707,-83.984,121.094,450.684
1530746687.236,11.230,29.297,-10.254,32.715,468.750
1530746687.239,-78.125,-30.273,122.559,-53.711,448.242
1530746687.243,-3.418,1.465,76.660,26.367,465.820
1530746687.247,91.309,64.453,-63.477,117.188,550.781
1530746687.251,29.785,43.945,-40.527,53.711,666.504
1530746687.255,-80.078,-22.461,103.027,-49.805,646.973
1530746687.259,-44.434,-18.555,110.840,-17.578,585.449
1530746687.263,72.266,47.852,-34.180,94.238,689.453
1530746687.267,62.500,56.152,-73.242,86.426,792.480
1530746687.271,-50.781,-7.812,61.523,-28.320,761.719
1530746687.275,-56.641,-32.227,132.324,-33.203,716.797
1530746687.278,59.570,31.738,1.953,88.379,787.598
1530746687.282,88.867,66.895,-88.867,116.211,911.133
1530746687.286,-19.531,4.883,23.926,9.766,880.371
1530746687.290,-80.078,-42.480,139.160,-43.457,808.105
1530746687.294,16.602,6.836,46.387,55.176,870.117
1530746687.298,91.797,60.059,-85.938,125.977,938.965
1530746687.302,8.789,25.391,-21.973,42.969,957.031
1530746687.306,-86.914,-31.738,117.188,-54.688,889.160
1530746687.310,-25.391,-3.906,83.984,13.184,881.836
1530746687.314,83.008,61.035,-63.965,123.535,969.238
1530746687.318,41.504,47.363,-58.105,75.684,979.492
1530746687.321,-69.824,-17.578,90.820,-32.715,936.035
1530746687.325,-39.062,-20.508,121.582,-5.859,910.156
1530746687.329,77.637,44.922,-23.438,105.957,953.613
1530746687.333,78.125,60.547,-78.613,105.957,-995.117
1530746687.337,-31.738,-2.441,57.129,-1.953,978.027
1530746687.341,-62.500,-30.273,139.648,-29.297,934.570
